x1;y1;x2;y2;x3;y3
0.6428847  ; 2.615731  ; 2.842885   ; 3.115731   ; 0.9428849  ; 3.01573
-2.357115  ; -2.784269 ; -2.857115  ; -2.884269  ; -3.257115  ; -3.584269 
-3.257115  ; -3.584269 ; -2.857115  ; -2.884269  ; -3.457115  ; -3.484269 
-4.957115  ; -4.98427  ; -4.257115  ; -4.384269  ; -4.957115  ; -3.884269 
-4.957115  ; -3.884269 ; -4.257115  ; -4.384269  ; -4.357115  ; -3.884269 
-1.557115  ; -4.98427  ; -1.557115  ; -2.284269  ; -3.357115  ; -4.384269 
-3.357115  ; -4.384269 ; -1.557115  ; -2.284269  ; -2.357115  ; -2.784269 
-3.357115  ; -4.384269 ; -2.357115  ; -2.784269  ; -3.257115  ; -3.584269 
-1.557115  ; -2.284269 ; -2.357115  ; -2.284269  ; -2.357115  ; -2.784269 
-1.557115  ; -4.98427  ; -3.357115  ; -4.384269  ; -4.957115  ; -4.98427  
-4.957115  ; -4.98427  ; -3.357115  ; -4.384269  ; -4.257115  ; -4.384269 
1.842885   ; -1.284269 ; 0.6428847  ; 0.3157306  ; 1.042885   ; -1.284269 
1.042885   ; -1.284269 ; 0.6428847  ; 0.3157306  ; 0.4428849  ; 0.2157306 
4.942884   ; 1.115731  ; 3.842885   ; -1.784269  ; 4.942884   ; -4.98427  
4.942884   ; -4.98427  ; 3.842885   ; -1.784269  ; 3.942884   ; -4.98427  
1.842885   ; -1.284269 ; 1.942885   ; -1.784269  ; 3.842885   ; -1.784269 
3.842885   ; -1.784269 ; 4.942884   ; 1.115731   ; 1.842885   ; -1.284269 
1.842885   ; -1.284269 ; 4.942884   ; 1.115731   ; 0.6428847  ; 0.3157306 
0.6428847  ; 0.3157306 ; 4.942884   ; 1.115731   ; 0.6428847  ; 1.115731  
-4.457115  ; 0.4157305 ; -4.957115  ; 0.4157305  ; -4.257115  ; -3.484269 
-4.257115  ; -3.484269 ; -4.957115  ; 0.4157305  ; -4.357115  ; -3.884269 
-4.357115  ; -3.884269 ; -4.957115  ; 0.4157305  ; -4.957115  ; -3.884269 
-2.957115  ; 0.8157306 ; -4.357115  ; 0.8157306  ; -2.857115  ; -2.884269 
-2.857115  ; -2.884269 ; -4.357115  ; 0.8157306  ; -4.457115  ; 0.4157305 
-2.857115  ; -2.884269 ; -4.457115  ; 0.4157305  ; -3.457115  ; -3.484269 
-3.457115  ; -3.484269 ; -4.457115  ; 0.4157305  ; -4.257115  ; -3.484269 
-2.357115  ; -2.284269 ; -1.557115  ; -2.284269  ; -1.457115  ; -1.784269 
0.8428846  ; -1.384269 ; 1.042885   ; -1.284269  ; 0.4428849  ; 0.2157306 
-1.457115  ; -1.784269 ; 0.8428846  ; -1.784269  ; 0.04288482 ; 0.3157306 
0.04288482 ; 0.3157306 ; 0.8428846  ; -1.784269  ; 0.8428846  ; -1.384269 
0.04288482 ; 0.3157306 ; 0.8428846  ; -1.384269  ; 0.4428849  ; 0.2157306 
-2.357115  ; -2.284269 ; -1.457115  ; -1.784269  ; -2.357115  ; 1.815731  
-2.357115  ; 1.815731  ; -1.457115  ; -1.784269  ; 0.04288482 ; 0.3157306 
-2.357115  ; 1.815731  ; 0.04288482 ; 0.3157306  ; 0.04288482 ; 1.815731  
-2.957115  ; 5.01573   ; -4.957115  ; 5.01573    ; -2.957115  ; 0.8157306 
-2.957115  ; 0.8157306 ; -4.957115  ; 5.01573    ; -4.457115  ; 1.315731  
-2.957115  ; 0.8157306 ; -4.457115  ; 1.315731   ; -4.357115  ; 0.8157306 
-4.957115  ; 5.01573   ; -4.957115  ; 1.315731   ; -4.457115  ; 1.315731  
0.04288482 ; 2.615731  ; 0.4428849  ; 2.715731   ; 0.8428846  ; 3.215731  
-2.357115  ; 5.01573   ; 0.8428846  ; 4.315731   ; 1.842885   ; 5.01573   
1.842885   ; 5.01573   ; 0.8428846  ; 4.315731   ; 1.842885   ; 4.415731  
-2.357115  ; 5.01573   ; -2.357115  ; 1.815731   ; 0.8428846  ; 4.315731  
0.8428846  ; 4.315731  ; -2.357115  ; 1.815731   ; 0.04288482 ; 2.615731  
0.8428846  ; 4.315731  ; 0.04288482 ; 2.615731   ; 0.8428846  ; 3.215731  
-2.357115  ; 1.815731  ; 0.04288482 ; 1.815731   ; 0.04288482 ; 2.615731  
0.6428847  ; 2.615731  ; 0.9428849  ; 3.01573    ; 0.4428849  ; 2.715731  
0.4428849  ; 2.715731  ; 0.9428849  ; 3.01573    ; 0.8428846  ; 3.215731  
4.942884   ; 1.715731  ; 4.942884   ; 5.01573    ; 2.842885   ; 3.115731  
2.842885   ; 3.115731  ; 4.942884   ; 5.01573    ; 2.842885   ; 4.315731  
4.942884   ; 5.01573   ; 1.842885   ; 5.01573    ; 2.842885   ; 4.315731  
2.842885   ; 4.315731  ; 1.842885   ; 5.01573    ; 1.842885   ; 4.415731  
4.942884   ; 1.715731  ; 2.842885   ; 3.115731   ; 0.6428847  ; 1.715731  
0.6428847  ; 1.715731  ; 2.842885   ; 3.115731   ; 0.6428847  ; 2.615731  
